Q231690	Bhimrao Ramji Ambedkar
Q2887217	women's basketball
Q1195238	The Garden of Love
Q91272	Monticiano
Q1352246	Klout
Q21406785	Oğuz
Q5498292	Frederick Locker-Lampson
Q49830	Continental Reformed Protestantism
Q55245840	Category:Cory Doctorow
Q9670535	Category:Nicholas I of Russia
Q696641	Nikkō Tōshō-gū
Q1983986	Mula
Q27904684	2009 Austrian International Badminton Championships – women's doubles
Q8826	Palma
Q2895007	Bellérophon
Q2635158	Progressive Era
Q28737532	Żółkiewski
Q1646751	Roald
Q770116	Ulm Campaign
Q2465220	Putney
Q1346073	Enzo
Q186316	Ayman al-Zawahiri
Q131620	Natal
Q248893	Ananda Mahidol
Q802	Nowy Sącz
Q5213276	Oxford City F.C.
Q2962940	Chebyshev linkage
Q19597898	Vyacheslav
Q37547602	Encinas
Q577432	Albert Einstein Award
Q421840	Nordenskiöld
Q60956	Ashkelon
Q21290695	Adèle-Marguerite Arente
Q1710778	Jubilee Medal "In Commemoration of the 100th Anniversary of the Birth of Vladimir Ilyich Lenin"
Q18197540	René Dalize
Q463949	Kim Jong-suk
Q905968	Neath F.C.
Q1750439	Capivari
Q646088	Club Atletico All Boys
Q4321518	Nishiōi
Q6706991	Lwów Scientific Society
Q19413393	Vyachaslaw
Q721105	Azarov
Q3922	Detmold
Q209103	Music for a New Society
Q2161045	Roderich
Q1295286	Waverley Abbey
Q42258362	Finite Semifields and Projective Planes
Q5942791	Muhammad in the Quran
Q2453742	Pinner
Q48866423	Picture a Favela
Q188947	Kedah
Q967746	Morón
Q21401489	Aarón
Q214999	Katia Mann
Q21513755	Beith
Q15292086	Category:Donald Trump
Q2890194	Battle of Tolbiac
Q257141	Isabella of France, Queen of Navarre
Q2570014	APIA Leichhardt Tigers
Q4791667	Arkadiusz
Q1492410	John Y. McCollister
Q9457252	Category:Boris Pasternak
Q155993	Kladno
Q193093	Platonic Academy
Q12800075	Renee
Q6286166	Joseph Pease
Q41087	Raleigh
Q393	Szczecin
Q21493732	Sainsbury
Q69398	Tolochenaz
Q1027055	Japan Restoration Party
Q222047	NBA Most Valuable Player Award
Q203605	carpentry
Q3771693	Giuseppina Raimondi
Q27570582	1973 German Open Badminton Championships – mixed doubles
Q4819026	Auberge Ravoux
Q12805306	Vaughan
Q16551	Vermont
Q465126	David Hare
Q16479391	Allman
Q4068496	Aram
Q18558974	Deborah
Q823107	Bernardsville
Q2683624	SD Ciudad de Santiago
Q326243	Stanislaus Joyce
Q20726593	helicopter pilot
Q2915400	Encyclopædia Metropolitana
Q7314484	Republic of Ireland national under-23 football team
Q502250	Staunton
Q47473	Wilanów Palace
Q1341487	Philip K. Dick Award
Q21045681	Marcelinho
Q7307568	Category:Christopher Hitchens
Q28323399	Eller
Q273518	School for Advanced Studies in the Social Sciences
Q6924675	David Ginsburg
Q37494566	Weitzman
Q866428	House of Bismarck
Q321612	Raphael von Koeber
Q20967560	Mary Baldwin
Q4827991	Aveley F.C.
Q16279190	Maude
Q2168571	Roth
Q27915750	Cointat
Q25690	John Russell, 6th Duke of Bedford
Q20726929	Morissette
Q19869488	Marie-Pierre
Q21494510	Viali
Q276176	Volta Redonda
Q22998436	member of the Assembly of Madrid
Q18002628	Patricio
Q9074053	Category:Peter Paul Rubens
Q922263	Critics' Choice Movie Award for Best Director
Q2615416	Portuguese Brazilians
Q204940	West Lothian
Q189043	Petrópolis
Q21450555	Hilbert
Q1147735	Verein Deutsche Sprache
Q13553818	Kirby
Q2468132	Gallantry Cross
Q211374	New York Post
Q240475	Kashan
Q238774	Moza bint Nasser Al Missned
Q1974288	FC Sodovik Sterlitamak
Q230023	Leslie Caron
Q7594411	St Mary's Church, Redgrave
Q54906268	Minister for Territorial Policy
Q7641073	Sunrise Coigney
Q3710069	Nikolai Krasovsky
Q1605531	Dirk
Q52690970	José Fernando
Q50869388	Category:Enoch Powell
Q6410185	Kimmo
Q3459651	Dunthorpe
Q292880	Ó Cuív
Q17114963	Wise
Q57286	Fanny Mendelssohn
Q123659	Netanyahu
Q475007	Pontifical Lateran University
Q3132669	Henry Bulwer, 1st Baron Dalling and Bulwer
Q36950332	Milko
Q1710776	Jubilee Medal "XX Years of the Workers' and Peasants' Red Army"
Q2000891	North Vancouver
Q974780	Erasmus Prize
Q486382	Castel Sant'Angelo
Q5729871	Henry Ware Eliot
Q68229	Maximilian William of Brunswick-Lüneburg
Q8879652	Category:Antonín Dvořák
Q7012225	New Utrecht High School
Q357823	Adjunct
Q54423569	Tubage technique
Q18832963	Niinistö
Q3332237	Vega Medal
Q7165800	People's Union of Kazakhstan Unity
Q288219	Joanna of Flanders
Q21449179	Sergeyev
Q642824	Deportes Iquique
Q16877253	Miyazaki
Q25917383	Minister of State for School Standards
Q26772600	Tatyana Karimova
Q1888771	Manchester Metropolitan University
Q52585	Gualeguaychú
Q730809	Nîmes Olympique
Q27973987	family of Angela Merkel
Q21485499	Randolph
Q19819822	Ennio
Q1519278	German minesweeper M-1
Q23038711	Da Costa
Q14693512	Calvary Cemetery
Q588293	Sonning
Q220101	Dale Mitchell
Q695011	Friedrichsruh
Q5249832	Dedić
Q1058484	Orson Welles filmography
Q3063059	FCM Câmpina
Q27019774	Sandys
Q337580	Royal Academy of Science, Letters and Fine Arts of Belgium
Q6417829	Emir
Q21498374	Rallis
Q6035647	Máximo Jeria
Q15289690	Jānis
Q56166624	Hugo Aveiro
Q17496678	Esteves
Q26227641	Defence Minister of Spain
Q2750829	Leyton
Q2088328	Monkstown, County Dublin
Q309155	optimates
Q37551934	MacEntee
Q634829	G.D. Estoril Praia
Q53186083	Carola Miró
Q20892672	James Parks Morton Interfaith Award
Q693951	PFC Spartak Nalchik
Q2606511	Lebanese
Q4128398	Pavla Woolf
Q8875540	Category:Adam Mickiewicz
Q708902	Robert Kajanus
Q3847521	Anna Maria Villani Scicolone
Q1782657	Knowsley
Q48814	Strumica
Q2397784	Tayfun
Q4912331	Billy Carter
Q17269996	Pilar Bahamonde y Pardo de Andrade
Q22430	Galliate
Q13375	Pisa
Q3656	Buin
Q750423	Topoľčany
Q3876	Lilongwe
Q3168269	Jean-Noël Tassez
Q212699	Geffen Records
Q8962277	Francisco Agustín Silvela y Blanco
Q924	Tanzania
Q742477	Ernest Boulanger
Q4851436	Angela
Q2679669	Hege Frøseth
Q1469911	Fran
Q46806	Montebelluna
Q4467970	Tianjin Locomotive F.C.
Q7173	marine biology
Q812589	Bayonne
Q462964	November Uprising
Q1043555	Carmelo
Q4468456	Marina von Neumann Whitman
Q55254105	Category:Victor Emmanuel III of Italy
Q29371	Asolo
Q840381	Flatbush
Q198034	Atlético Clube Goianiense
Q290080	Vytautas
Q51696	Mesquite
Q60382	Princess Viktoria of Prussia
Q16749676	Brown catalog
Q2383370	Kara Kennedy
Q20748947	Hoover
Q36393	Quotations from Chairman Mao Tse-tung
Q144495	Zaječar
Q2008084	Apodi
Q190500	Central Front
Q192187	Communist Party of the Russian Federation
Q156652	Thule Society
Q780539	Atlético Madrid B
Q332941	Douglas Douglas-Hamilton, 14th Duke of Hamilton
Q233	Malta
Q2065931	Pearson
Q723964	Peter Barnes
Q1469164	Fritz von Weizsäcker
Q2584915	Westcliff-on-Sea
Q3229812	Leopold von Zenetti
Q15070044	Malia Obama
Q16869654	Downs
Q217057	Clonmel
Q61078	Walter Benjamin
Q8745469	Category:Silvio Berlusconi
Q107392	Tønsberg
Q127990	Australian National University
Q166105	Sacramento Kings
Q12154124	The Cathedral
Q3995665	Torrens Park
Q212826	West Bromwich
Q447507	Anne Wiazemsky
Q18229570	member of the Argentine Chamber of Deputies
Q424327	Akvilė
Q237271	Henry Thomas Colebrooke
Q531624	Billy West
Q3830311	Leonard Neale
Q251439	Koprivshtitsa
Q875668	Church of Ireland
Q4127955	Republic of Ireland B national football team
Q488946	Downey
Q946961	Jean Sarkozy
Q23038793	Ferri
Q188507	apartment
Q5436213	Farragut Career Academy
Q459974	Athlete of the Nation
Q4928105	Tomislav
Q1300996	Ehud
Q1138248	Cox
Q15729029	Will
Q5212368	Damiano
Q29906160	Efrén
Q2457001	Mariqueen Maandig
Q43102546	Minister of the Environment
Q5031075	Canales
Q5369920	Embassy of Zimbabwe, London
Q158119	Ramallah
Q15833127	Lúcio Flávio do Rosário
Q7144381	Pate's Grammar School
Q523064	Lord David Cecil
Q238539	Fawzia Fuad
Q7982829	Wendy Wilson
Q1480985	Club Atlético Morelia
Q187826	Móstoles
Q49353	Ian Heilbron
Q201006	FC Dinamo Tbilisi
Q980090	Air Medal
Q1377540	Mouilleron-en-Pareds
Q7241266	President of Dáil Éireann
Q7122	Michel Audiard
Q216978	Sinj
Q26628301	Heaven-play
Q264952	Vauxhall Motors F.C.
Q16860055	Blackburn
Q5157132	Compton
Q51833554	Bullock
Q9500908	Category:Menachem Begin
Q1794952	Castelo
Q25336671	Tarfah bint Abdullah Al Sheikh
Q8488200	Category:George I of Great Britain
Q529934	Zinaida Volkova
Q1736208	Christ Church Cathedral
Q93588	Georg Joachim Rheticus
Q7501082	Shop, Distributive and Allied Employees Association
Q540571	fibromyalgia
Q1425831	Deutsches Archäologisches Institut. Römisch-Germanische Kommission
Q55326040	Category:Archduke Charles, Duke of Teschen
Q344538	Thomas Kuchel
Q457103	Jo Inge Bjørnebye
Q55330021	Category:Rudolf Clausius
Q16290442	Kimber
Q330204	paramedic
Q52413	University of Kansas
Q5284951	Dixon High School
Q609912	Lokomotiv Tashkent
Q6547569	Category:Dolly Parton
Q13362	Ferrara
Q389688	Achaemenid Empire
Q9105081	Category:Robert E. Lee
Q4703212	Al-Shabab SC
Q235776	Richilde of Provence
Q1134577	Pumas Morelos
Q13589249	Valentina
Q1124841	PFC Lokomotiv Plovdiv
Q7990927	WhatDoTheyKnow
Q7113028	Outspan Hotel
Q11905068	Anna Torvalds
Q8705441	Category:Satyajit Ray
Q47024	People's Artist of the RSFSR
Q4351694	Rosalind Christie
Q12347595	Fabian Zamenhof
Q1242618	Ditta Pásztory-Bartók
Q4459962	Nikolay Tolstoy
Q1631137	King's Privy Council for Canada
Q22230899	Marie Anne Charlotte de Courty de Romange
Q502040	Ishøj Municipality
Q6049250	International Chrysis
Q10305	Zaragoza
Q5497282	Frederick Attenborough
Q1064935	Matsudaira Hirotada
Q153006	Freie Universität Berlin
Q131578	J-pop
Q273850	Grosrouvre
Q852071	Silver Star
Q845102	Rumble Fish
Q599018	Club Atlético River Plate Puerto Rico
Q28602	Aramaic languages
Q13577249	Mateo
Q207894	chastity
Q35505	Old Norse
Q2153541	Johann van Beethoven
Q3238926	Cardiff South and Penarth
Q8508673	Category:Herbert Hoover
Q325130	Richard Matheson
Q818363	Piloña
Q999088	Quixeramobim
Q8395528	Category:E. M. Forster
Q318698	MYPA
Q2268261	Order of Honour
Q1106689	Banting
Q659212	FC St. Gallen
Q212026	Mira Sorvino
Q1509832	The Thaw
Q8972647	Category:Heinrich Schliemann
Q7890725	United States Marine Corps Reserve
Q79298	Delight
Q2532509	Belgian Socialist Party
Q55996	naturalism
Q2030344	Orhan
Q3238037	Royal Lodge
Q615244	Ituzaingó
Q18542666	Nello
Q4090718	Oliver Baldwin, 2nd Earl Baldwin of Bewdley
Q281859	Vagankovo Cemetery
Q22687905	Category:Mikhail Ostrogradsky
Q1186843	Budapest University of Technology and Economics
Q4521676	Katherine Schwarzenegger
Q1952	Nova Scotia
Q1602192	Helga Hirsch
Q55299766	Category:Władysław Bartoszewski
Q21494602	Allegri
Q5371902	harpsichordist
Q3181877	John Kipling
Q4382287	Emil Oskar Nobel
Q156724	Kremenchuk
Q775319	Ouro Fino
Q18156042	Google Doodle
Q28442787	Category:Jacobus Henricus van 't Hoff
Q470446	High Representative for Bosnia and Herzegovina
Q196907	Usman
Q558334	Libertarian Party
Q13495	Trani
Q56256757	Cecile Berthier
Q2078238	Bruckless
Q2825869	Sarkozy-Gaddafi case
Q4398622	Aurica Rotaru
Q16885123	Zapatero
Q5196012	Curto
Q501503	German Emperor
Q2666673	Lubicz
Q8023342	Wilton, Cork
Q682645	Austro-Hungarian Army
Q58831	Ruviano
Q10899363	Liu Cheng
Q24068537	Category:Jeb Bush
Q2300305	Aldershot F.C.
Q210796	Komárno
Q34479	Hirohito
Q98967	Nizhny Tagil
Q182419	Nordic Council Literature Prize
Q1134718	English Renaissance theatre
Q54960587	Italian Minister of Economic Development
Q945876	Grenoble Alpes University
Q16185701	Janetta Hughan Manners
Q1981782	Neustädter Hof- und Stadtkirche St. Johannis
Q169165	Washington Wizards
Q952490	Guisborough
Q6593	Vannes
Q374069	Avaí Futebol Clube
Q16834800	Einstein
Q794970	Athletic Bilbao B
Q1201891	Catholic Church in Italy
Q8564191	Category:Jay-Z
Q3140857	horticulturist
Q19827830	Rene
Q7527717	Sir John Deane's College
Q386846	Boris Godunov
Q21475464	Bayraktar
Q17355204	World Cup Golden Ball
Q2019437	Olesko
Q525508	Dewsbury
Q5566588	Glan Afan Comprehensive School
Q5184353	Crescent College
Q1816620	Rugeley
Q1907867	Master of Engineering
Q21337926	Martin Altwegg
Q3339235	neurological disorder
Q188782	Malta national football team
Q16192909	Elena Rostropovich
Q23103	Shropshire
Q1537436	Pontificia Universidad Católica del Ecuador
Q275167	Bee Movie
Q748406	A.S. Sestese Calcio
Q1666381	International Biographical Centre
Q4340209	mental depression
Q2227570	Duchy of Württemberg
Q7374738	Royal Prince Alfred Hospital
Q189201	chamber music
Q3513552	Katharine Hepburn film and theatre credits
Q406039	gold medal
Q19858226	Minister of Church affairs and Public Education of Greece
Q213988	Skogskyrkogården
Q1780634	Golden Raspberry Award for Worst Picture
Q668356	Frances Lloyd George, Countess Lloyd-George
Q17420449	Category:Kofi Annan
Q6539350	Li Zi
Q936453	Yuste
Q158788	Melenki
Q913401	radicalism
Q8588	Schrödinger's cat
Q776223	University of Montpellier
Q3636773	Battista
Q56035528	Sopra alcuni problemi di idrodinamica
Q296177	John Cazale
Q25820465	Gorbachev
Q21446151	Lassen
Q2022153	Bessbrook
Q18759075	Konstantinos
Q521483	Catherine Leterrier
Q20000450	Kimon
Q16869371	Cyrus
Q161795	Loretto School
Q6502565	Fort Lauderdale Strikers
Q23638611	Rudy
Q207969	Eric Roberts
Q9009150	Category:Ludwig I of Bavaria
Q7401709	Category:Wassily Kandinsky
Q688998	Leipzig Debate
Q203263	Athens
Q16883818	Steel
Q4013677	Vinicio
Q3889699	Elliott Roosevelt
Q16869995	Forrester
Q21483044	Cordeiro
Q42240	research
Q2032316	passion bearer
Q1300660	honorary chairperson
Q171348	Crown of the Kingdom of Poland
Q1795537	Pederneiras
Q2268227	Charles Vane, 3rd Marquess of Londonderry
Q473670	January Uprising
Q241116	Shirvan
Q3873967	Canada Olympic soccer team
Q18171804	Alec
Q314570	1994 German presidential election
Q55274368	Category:Robert McNamara
Q8250818	Noble Consort Zheng
Q19740654	Category:Raúl Castro
Q3184256	Joseph-François Baudelaire
Q16870408	Halford
Q76791	Ferdinand von Richthofen
Q209788	The Second World War
Q7437849	Scottish Liberal Party
Q15410030	Rosa
Q325414	Dieulefit
Q205592	Antony
Q41719222	The Satanic Verses of Bhagavad-gita
Q1257501	Golden Globe Award for Best Actress – Television Series Drama
Q2319135	Diva Zappa
Q12797895	occultist
Q18324754	Category:George Clooney
Q207614	Figeac
Q106800	Academy Award for Best Animated Feature
Q42864983	De Michelis
Q820037	miner
Q27117307	Alexandrov
Q202177	Angus
Q56036	West Berlin
Q578060	Longwood House
Q36337	Nzema
Q1036431	Empress Xiaokangzhang
Q1053309	Santiago General Cemetery
Q15785531	Barber
Q28102388	Agreement for Change
Q702524	University of Erfurt
Q11691674	Maximilià Morales Gómez
Q71724	Lorient
Q666112	Boris
Q2041933	Chester F.C.
Q7525972	Sir Alfred Pease, 2nd Baronet
Q3166409	Jean-Jacques Salomon
Q1499767	Jean-Baptiste
Q7231822	Portillo
Q273548	French School at Athens
Q16816604	Category:Mary of Teck
Q257324	Grödig
Q484018	Gladsaxe Municipality
Q7217120	Category:Jules Verne
Q7177620	Peter Watts
Q367788	Aris Limassol F.C.
Q6710359	Sheryl Gascoigne
Q7847136	Category:Heinrich Heine
Q9542365	Category:Fritz Leiber
Q498128	LaRue County
Q19018174	Minister of War
Q7261239	Purificacion Quisumbing
Q21507504	Cardone
Q2600170	Kirghiz Autonomous Socialist Soviet Republic
Q16828292	Cowen
Q482859	assassination of Park Chung-hee
Q3550489	US Avranches
Q18220781	Jeroni
Q218014	President of Latvia
Q55244259	Category:Holly Hunter
Q22948670	Salah ad-Din
Q5362375	Elizabeth Barbara Lytton
Q15732792	Pavol
Q4296678	Mitinskoe Cemetery
Q2241864	San Fernando
Q6859059	Category:Anton Chekhov
Q467665	Betsey Johnson
Q19861328	Arnulf of Sens
Q492677	Mercer Ellington
Q192229	County Tyrone
Q1761553	Akira
Q18177262	Gilberto
Q6633271	Rota
Q1017260	La Tronche
Q18325191	Ambrosio
Q4928115	Tobias
Q2663810	S.S.D. Sapri Calcio
Q650309	puncheur
Q32821	CEU San Pablo University
Q1073057	Chiltern
Q18467	Belper Town F.C.
Q249984	Robin Gandy
Q2551894	Walmer
Q21285755	Paulinho
Q16880352	Mankiewicz
Q2107174	Poznań Society of Friends of Learning
Q1609167	Christian Vadim
Q233660	Louisa Adams
Q4042166	Kerr
Q15205860	Aleksey Brusilov
Q7115353	Oxford High School
Q9155454	Countess Palatine Maria Anna of Zweibrücken-Birkenfeld
Q333500	Qian Xuesen
Q50560515	Bhakta Devi Pokhrel
Q2032069	Jetsun Pema
Q565532	Marlborough House
Q1700135	Midhurst
Q18650073	scholarch of the Platonic Academy
Q20687291	Junts pel Sí
Q37164388	Delvecchio
Q381203	Ted Danson
Q636627	Whitchurch
Q19818007	Miloš
Q18145769	Oskar
Q474487	Essoyes
Q838926	King's College
Q6059149	Paloma López
Q53661844	Marco António
Q23497866	Jamaica Hospital Medical Center
Q731899	Ignazio
Q1024045	Thornton
Q11460583	Yoshiki Ogawa
Q24069561	Category:Norodom Sihanouk
Q72030	Cercola
Q929438	Point de lendemain
Q866012	University of Queensland
Q2265369	Seamen's Schools in Germany
Q840668	La Jolla
Q1402296	Ávila Cathedral
Q16679767	Natale
Q9072	Estonian
Q274141	Dolmabahçe Palace
Q188953	Perak
Q334197	Vila Velha
Q12198181	Knight of the Garter
Q209921	Julius Erving
Q1885275	Ojibwa
Q1875414	Friesenheim
Q3430350	Axel Ottesen Brahe
Q1548060	Order of Tomáš Garrigue Masaryk
Q16148136	Archer
Q19481993	Life Hutch
Q37450992	Laplace
Q214723	The Gold Rush
Q767840	Lobachevsky Prize
Q7996886	Whittingehame
Q12059906	herder
Q96061	Christiane Herzog
Q846101	Georgetown University Law Center
Q7172593	Peter Aykroyd
Q988818	Eleanor
Q27188483	badminton at the 1994 Commonwealth Games – mixed doubles
Q699668	Thomasschule zu Leipzig
Q854623	insider trading
Q586762	Westport
Q855749	Catharina-Amalia, Princess of Orange
Q197502	Zhao Mausoleum
Q1239117	Don Foster
Q7579302	Sport Benfica e Castelo Branco
Q7306619	Reed A. Albee
Q17619252	Senator of Belgium
Q6172811	Álvaro Henríquez
Q27101961	Hussein
Q2253414	Schwartz
Q1217202	Saint-Cassin
Q1993774	Rønde
Q28923530	French-language art critics bibliographies
Q3393225	Mariscal de Yugoslavia
Q545334	Athénée de Luxembourg
Q20635295	Kieran
Q572700	bureaucrat
Q768476	David di Donatello for Best Film
Q48993002	Brigitte Ayrault
Q1718685	Sakarya University
Q666479	Basel Minster
Q78951	August von Hayek
Q251254	Großgmain
Q55331457	Category:Carl Correns
Q2578145	Niki
Q83432	Viroflay
Q54452	Kumanovo
Q5271173	Diana Gould
Q810961	Battery Park City
Q21508472	Jagger
Q20899901	Order of the Polar Star - Commander's Grand Cross
Q55955458	Hervé Pleven
Q165271	Lens
Q2076464	Ramos Mejía
Q7031462	Niels Bohr International Gold Medal
Q2670674	Poland national under-19 football team
Q156035	opinion journalism
Q179259	Crowborough
Q2421724	Uberaba Sport Club
Q3837639	Louisa Montagu Douglas Scott, Duchess of Buccleuch
Q16711461	Girsch Feldman
Q37173298	Ferrarese
Q56037337	Cecile Braun
Q7280875	Radio Killa Records
Q26780667	Gabriele
Q1362661	Hahn
Q18941368	Tycho
Q39291804	Nikita
Q902399	Andreas Moustoxydis
Q33489993	Franziska Wagner
Q2869503	Atlético Acreano
Q279311	Fall River F.C.
Q6506	Varna
Q17291294	Myla Federer
Q4475079	Maria Ulyanova
Q55325797	Category:Louis de Broglie
Q21506642	Orosz
Q1225716	ornithologist
Q388435	College Park
Q1131732	Serbia and Montenegro national football team
Q170174	Papal States
Q757422	Atlético Clube de Portugal
Q672990	Bilhorod-Dnistrovskyi
Q27864875	2008 Spanish International Junior Badminton Championships – women's singles
Q23800	Valletta
Q21448051	Baiano
Q4647051	A.C. Castellettese
Q2637543	Ivan Mushketov
Q2379681	Naval Cadet Corps
Q5721253	Henry FitzAlan-Howard, 2nd Viscount FitzAlan of Derwent
Q1055311	Livadia Palace
Q16870599	Hawking
Q491786	Calvià
Q7528945	Sir Samuel Hoare, 1st Baronet
Q23815626	Jane More
Q11094283	Zhu Nan
Q187696	Vimercate
Q959086	NK Lokomotiva
Q2565355	medical malpractice
Q4220705	Kim family
Q1112438	Republican Guard
Q26736185	Hadid
Q10943718	University of Wisconsin-Superior
Q27885712	Anne Frank
Q7083637	Old Chapel Hill Cemetery
Q915294	Aleksandr Salnikov
Q936663	Philippe Cousteau
Q7372678	Category:Vladimir Nabokov
Q6709542	Lynwood High School
Q5059715	Center for International Security and Cooperation
Q27864939	1999 Spanish International Badminton Championships – men's doubles
Q17049943	Vega
Q30106749	Viktor
Q886147	Blum
Q52187	San Cesario di Lecce
Q7933385	violin sonata
Q177854	Lorenzo de' Medici
Q48093	Nikolai Bulganin
Q4665226	Abdul-Aziz bin Talal bin Abdul-Aziz Al Saud
Q661575	Astor family
Q2332097	CF Sporting Mahonés
Q2255913	Florida
Q78500	Alois Hitler
Q7890788	United States Naval Academy Cemetery
Q929753	SD Compostela
Q659918	Horn
Q505583	Schondorf am Ammersee
Q27879123	2000 New Zealand Open Badminton Championships – men's doubles
Q2090901	Aizawa Seishisai
Q46370	West Francia
Q610447	Cowdenbeath F.C.
Q564497	Annan Athletic F.C.
Q8884431	Category:Avicenna
Q124943	Kingdom of Egypt
Q539929	Duke of Rutland
Q956196	Sándor
Q9239	Cavour
Q5289348	Dolly Parton discography
Q508187	John Abercromby
Q676897	Nacional Potosí
Q1625970	Maggie
Q893125	Booterstown
Q944527	Dmitry Bogrov
Q27787813	Edgewater Hospital
Q18668382	Rudolf Bockelmann
Q4358398	Ahmet Burak Erdoğan
Q2088144	Philomaths
Q22058820	Scholz
Q12216469	Sultan bin Turki II bin Abdulaziz Al Saud
Q1031307	S.C. Freamunde
Q347432	Roy O. Disney
Q1764270	Schönberg
Q54670264	Alexander Clooney
Q595575	Social Democratic Party
Q919	Krasnoyarsk
Q39140362	Peter Tauber
Q745005	Sucha Beskidzka
Q5949	St. Vitus Cathedral
Q3664307	Celso
Q1959817	NATO Military Committee
Q196107	Vancouver Whitecaps FC
Q131323	Misrata
Q18375246	Champollion
Q6688697	Louise Cromwell
Q1263792	Superbug
Q1784163	Sarandí del Yí
Q19066	Club Universitario de Deportes
Q783785	Chief of Staff of the United States Army
Q945930	progressive supranuclear palsy
Q17303497	Category:Charles the Bald
Q841299	Matosinhos
Q466584	Olga Knipper
Q7204910	Pleydell-Bouverie
Q12315227	Hans Andersen
Q2073960	Craig Robinson
Q4489959	Kame-hime
Q11084830	Fang Zhenwu Family
Q26158176	Category:Robert Bunsen
Q692856	Shonan Bellmare
Q393277	Żółkiewski
Q1255239	Dragutin
Q275929	Emilia Pardo Bazán
Q570696	Tarkan
Q17502533	Ohio state representative
Q632511	Seattle Sounders FC
Q32390	Salthill
Q20001305	Angelos
Q15727982	Étienne
Q11644935	Nozarashi kikō
Q5734467	Herbert Hoover, Jr.
Q249643	Liga Deportiva Universitaria de Quito
Q3303430	Poolsbrook
Q397610	agrégation
Q7152909	Paul Pelosi
Q1981575	Andrzej Poniatowski
Q6305133	Juho
Q912994	Speaker of the United States House of Representatives
Q9105077	Category:Robert Baden-Powell
Q808830	Barrancabermeja
Q213630	Ernest II, Duke of Saxe-Coburg and Gotha
Q352270	Adanaspor
Q851233	Budapesti VSC
Q840768	Ulisses FC
Q132440	Princess Charlotte Augusta of Wales
Q7492250	Shebbear College
Q2418908	Belarusian State University
Q2722764	radio personality
Q240931	Edwin
Q23322607	Donnchadh
Q55110220	Stories from Our Neighbourhood
Q5075846	Charles Brudenell-Bruce, 1st Marquess of Ailesbury
Q4308808	Li Kuan
Q3403995	HM Prison Belmarsh
Q816	Arizona
Q955992	Kobryn
Q37091	FC Mordovia Saransk
Q1795727	Köllnisches Gymnasium
Q5646727	La Soledat
Q105986	Friedwardt Winterberg
Q192102	skin cancer
Q335555	Sjögren's syndrome
Q303660	Kylie Minogue filmography
Q11563533	Sumi Yukawa
Q4088132	Kuntsevo Dacha
Q20588120	Fabrício
Q3218145	Communist Party of Uzbek Soviet Socialist Republic
Q4011164	Vice President of the Council of Ministers of Italy
Q2909284	FC Dolgoprudny
Q16105	Bad Nauheim
Q21079791	Jude
Q6397	Avignon
Q10950480	David J. Balding
Q21450794	Stevanović
Q25558228	Sir Hugh Owen Owen, 2nd Baronet
Q6259	Pavia
Q388995	Trabzon Province
Q1267944	Margrit von Braun
Q21493431	Bannon
Q2350680	Stockhausen
Q996581	Buenaventura
Q4946872	Delia Ephron
Q4960025	Breckenbeds Junior High School
Q20098826	Jeanne-Louise Poulain d'Andecy
Q27878957	1975 Mexican Badminton Championships – men's doubles
Q7913	Romanian
Q4776343	Antonina Miliukova
Q8488143	Category:George Berkeley
Q18808411	Egerton
Q274113	Catherine Allégret
Q1389002	Neftochimic Burgas 1986
Q10059	Longqing Emperor
Q846127	Stageira
Q15269099	Alejo
Q271619	Ipoh
Q2111310	Élie Cartan Prize
Q163543	François Gérard
Q7220275	Di
Q21778014	Anthony Touma
Q8968660	Category:Plato
Q1873824	Ludger Alscher
Q23805597	Dion
Q25218248	Francesca da Rimini
Q1035148	Ágost Heller
Q651833	Schloss Tegel
Q1903042	Martha Frahm
Q16246550	FK Njegoš Lovćenac
Q3273124	Punahou School
Q150214	Kilburn
Q3361412	Pali Blues
Q283099	Bundeswehr University Munich
Q7659466	Syarhey
Q582996	Mike Connors
Q20513287	Andranik
Q2970932	Château of Vauvenarg
Q986210	Englewood
Q490058	Andernach
Q20916609	Jennifer Lawrence filmography
Q27924270	Guichard
Q4122316	Chairman of the Conservative Party
Q1320232	University of Detroit Mercy
Q65815	Christian Theodor Weinlig
Q13416768	G.S. Iraklis Thessaloniki
Q7164	World Bank
Q45050919	Category:Maximilian I of Mexico
Q2848413	André Pelletan
Q11481844	Adem
Q14378	neoclassicism
Q23894013	Ronny Hallin
Q56682479	Alexandra
Q3894	Kampala
Q8966825	Category:George Bernard Shaw
Q22918995	Aladino
Q47524271	Eizaguirre
Q17582944	Category:Miroslav Klose
Q400282	Nyers
Q14405927	2013 Badminton World Championships – women's doubles
Q263126	Hapoel Ashkelon F.C.
Q7400484	Saina
Q4130895	Gabiskiria
Q21543225	Albert Rubens
Q168563	Jiří
Q1056237	Hugo Award for Best Related Work
Q401402	nephritis
Q6205446	Joan Shakespeare
Q1584552	Bromley F.C.
Q6797626	Mayor
Q404537	Bismarck Monument
Q385509	Palmach
Q2905016	The Room
Q29014572	Granados
Q47121652	Post Office Primary School
Q48402657	Mikhail Mikhailovich Sholokhov
Q6667075	Template:Abraham Lincoln
Q21511146	McLeish
Q274169	Kathryn Crosby
Q333018	common descent
Q2367989	İstanbul Büyükşehir Belediyesi S.K.
